Category,Source Path (React),Angular Target,Status,Dep chain,Notes
UI,react-app-reference/react-app-reference/src/components/Shared/AnalysisBlock.tsx,angular/src/app/components/analysis-block/analysis-block.component.ts,exists,Types→UI,Standalone component shell present; gated via FEATURE_FLAGS
Types,react-app-reference/react-app-reference/src/components/Shared/AnalysisBlock.tsx,angular/src/app/domain/types/analysis.types.ts,exists,None,Types ported
UI,react-app-reference/react-app-reference/src/components/Shared/PerformanceCard.tsx,angular/src/app/components/performance-card/performance-card.component.ts,exists,Types→UI,Standalone component staged under flag
Types,react-app-reference/react-app-reference/src/components/Shared/PerformanceCard.tsx,angular/src/app/domain/types/performance.types.ts,exists,None,Types ported
Calc,react-app-reference/react-app-reference/src/components/Wizard/calculations.ts,angular/src/app/domain/calculations/wizard-helpers.ts,partial,Helpers→calc,Added performance vs target + adjustment status
UI,react-app-reference/react-app-reference/src/components/Wizard/NewStoreSection.tsx,angular/src/app/pages/wizard/income-drivers/components/new-store-section.component.ts,exists,Types+Helpers+UI→Main,Complete component with auto-calculations and bidirectional discounts
UI,react-app-reference/react-app-reference/src/components/Wizard/ToggleQuestion.tsx,angular/src/app/components/wizard-ui/toggle-question.component.ts,exists,Types→UI,Reusable toggle for TaxRush/OtherIncome with field clearing
UI,react-app-reference/react-app-reference/src/components/Wizard/FormField.tsx,angular/src/app/components/wizard-ui/currency-input.component.ts,exists,None,CurrencyInput with ControlValueAccessor support
UI,react-app-reference/react-app-reference/src/components/Wizard/FormField.tsx,angular/src/app/components/wizard-ui/number-input.component.ts,exists,None,NumberInput with prefix/suffix support
Types,react-app-reference/react-app-reference/src/components/Wizard/types.ts,angular/src/app/domain/types/wizard.types.ts,exists,None,Complete WizardAnswers interface with all 17 expense fields
UI,react-app-reference/react-app-reference/src/components/Wizard/StrategicAnalysis.tsx,angular/src/app/pages/wizard/income-drivers/components/strategic-analysis.component.ts,exists,Types+Helpers→UI,Educational strategic vs tactical analysis with performance comparisons
Calc,react-app-reference/react-app-reference/src/components/Wizard/calculations.ts,angular/src/app/domain/calculations/wizard-helpers.ts,complete,None,Added calculateBlendedGrowth function for strategic analysis
UI,react-app-reference/react-app-reference/src/components/Wizard/SuggestedFormField.tsx,angular/src/app/components/wizard-ui/suggested-form-field.component.ts,exists,Types+Service→UI,Enhanced form field wrapper with suggestion display and smart formatting
UI,react-app-reference/react-app-reference/src/components/Wizard/SuggestedFormField.tsx,angular/src/app/components/wizard-ui/suggested-currency-input.component.ts,exists,Types→UI,Currency input with suggestion integration and ControlValueAccessor
UI,react-app-reference/react-app-reference/src/components/Wizard/SuggestedFormField.tsx,angular/src/app/components/wizard-ui/suggested-number-input.component.ts,exists,Types→UI,Number input with suggestion integration and prefix support
UI,react-app-reference/react-app-reference/src/components/Wizard/SuggestedFormField.tsx,angular/src/app/components/wizard-ui/suggested-percentage-input.component.ts,exists,Types→UI,Percentage input with suggestion integration and % suffix
Service,react-app-reference/react-app-reference/src/utils/suggestionEngine.ts,angular/src/app/domain/services/suggestion-engine.service.ts,exists,Types→Service,Suggestion calculation engine with profile management and expense calculations
Types,react-app-reference/react-app-reference/src/utils/suggestionEngine.ts,angular/src/app/domain/types/suggestion.types.ts,exists,None,SuggestionProfile and CalculatedSuggestions interfaces with expense field definitions
UI,react-app-reference/react-app-reference/src/components/Wizard/SuggestedInputDemo.tsx,angular/src/app/components/demos/suggested-input-demo.component.ts,exists,Service+Components→Demo,Educational demo showing complete suggestion system integration with flow visualization
Service,react-app-reference/react-app-reference/src/utils/suggestionEngine.ts,angular/src/app/domain/services/suggestion-engine.service.ts,complete,Types→Service,Extended with getSuggestionProfile function for context-based profile selection
UI,react-app-reference/react-app-reference/src/components/Wizard/ToggleQuestion.tsx,angular/src/app/components/wizard-ui/toggle-question.component.ts,exists,None,Reusable toggle question component with field clearing logic and conditional rendering (minor typo fix applied)
Types,react-app-reference/react-app-reference/src/components/Wizard/types.ts,angular/src/app/domain/types/wizard.types.ts,complete,None,Central wizard type definitions with WizardAnswers (85+ fields) and component props (added WizardShellProps and updateAnswers method)
UI,react-app-reference/react-app-reference/src/components/Wizard/WizardPage.tsx,angular/src/app/components/wizard-ui/wizard-page.component.ts,exists,Types→UI,Standardized page wrapper with consistent navigation and step management (Angular EventEmitter patterns)
UI,react-app-reference/react-app-reference/src/components/BrandLogo.tsx,angular/src/app/components/brand-logo/brand-logo.component.ts,exists,BrandAssets→UI,Regional brand logo with variants and error handling (enhanced with React parity features)
UI,react-app-reference/react-app-reference/src/components/BrandWatermark.tsx,angular/src/app/components/brand-watermark/brand-watermark.component.ts,exists,BrandAssets→UI,Fixed-position watermark with regional branding and error handling (enhanced with React parity features)
Dev,react-app-reference/react-app-reference/src/components/DebugPanel.tsx,angular/src/app/components/dev/app-state-debug.component.ts,exists,None,App state debugging panel with fixed positioning and development actions (new component to avoid conflict with existing milestone debug panel)
Layout,react-app-reference/react-app-reference/src/components/Footer.tsx,angular/src/app/components/app-footer/app-footer.component.ts,exceeds,Router+Services→Layout,Professional navigation footer with multi-column layout (Angular version significantly more advanced with Router integration and dynamic milestones)
Layout,react-app-reference/react-app-reference/src/components/Header.tsx,angular/src/app/components/app-header/app-header.component.ts,exceeds,BrandLogo+Router+Services→Layout,Three-column header with regional branding and actions (Angular version significantly more advanced with settings integration and flexible actions system)

